NDC,Medication_Name,Strength,Form,Route,DEA_Class,Simple_Generic_1,Pharm_Class_1,Thera_Class_1
13107008801,METHADONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
13107008901,METHADONE 10 MG TABLET,10 MG,Tablet,Oral,C-II,methadone HCl,OPIOID ANALGESICS,ANALGESICS
13107010301,OXYMORPHONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
13107010401,OXYMORPHONE 10 MG TABLET,10 MG,Tablet,Oral,C-II,oxymorphone HCl,OPIOID ANALGESICS,ANALGESICS
13107010701,HYDROMORPHONE 2 MG TABLET,2 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
13107010801,HYDROMORPHONE 4 MG TABLET,4 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
13107010901,HYDROMORPHONE 8 MG TABLET,8 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
13811065710,HYDROCODONE 2.5 MG-ACETAMINOPHEN 325 MG TABLET,2.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
13811068930,"TRAMADOL ER 100 MG CAPSULE 24H,EXTENDED RELEASE(25-75)",100 mg,"Capsule, ER mphase 24 hr 25-75",Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
13811069030,"TRAMADOL ER 200 MG CAPSULE 24H,EXTENDED RELEASE(25-75)",200 mg,"Capsule, ER mphase 24 hr 25-75",Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
13811069130,"TRAMADOL ER 300 MG CAPSULE 24 HR,EXTENDED RELEASE",300 mg,"Capsule, ER m-phase 24hr 17-83",Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
13811070410,"HYDROMORPHONE ER 32 MG TABLET,EXTENDED RELEASE 24 HR",32 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
13913000901,LAZANDA 100 MCG/SPRAY NASAL SPRAY,100 mcg/spray,"Spray, Non-Aerosol",Nasal,C-II,fentanyl citrate,OPIOID ANALGESICS,ANALGESICS
16714011104,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714011105,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714011106,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714011110,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714011111,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714011112,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714048101,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714048102,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
16714048103,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
17478003002,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
17478003005,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
17478003025,FENTANYL (PF) 50 MCG/ML INJECTION,,Solution,Injection,C-II,fentanyl citrate/PF,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",ANALGESICS
17478045016,LORTAB ELIXIR 10 MG-300 MG/15 ML ORAL SOLUTION,10-300 mg/15 mL,Solution,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
17478054001,HYDROMORPHONE (PF) 10 MG/ML INJECTION,10 mg/mL,Solution,Injection,C-II,hydromorphone HCl/PF,OPIOID ANALGESICS,ANALGESICS
17478054050,HYDROMORPHONE (PF) 10 MG/ML INJECTION,10 mg/mL,Solution,Injection,C-II,hydromorphone HCl/PF,OPIOID ANALGESICS,ANALGESICS
20482000110,SUBSYS 100 MCG/SPRAY SUBLINGUAL SPRAY,100 mcg/spray,"Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482000130,SUBSYS 100 MCG/SPRAY SUBLINGUAL SPRAY,100 mcg/spray,"Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482000210,SUBSYS 200 MCG/SPRAY SUBLINGUAL SPRAY,200 mcg/spray,"Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482000230,SUBSYS 200 MCG/SPRAY SUBLINGUAL SPRAY,200 mcg/spray,"Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482000430,SUBSYS 400 MCG/SPRAY SUBLINGUAL SPRAY,400 mcg/spray,"Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482000630,SUBSYS 600 MCG/SPRAY SUBLINGUAL SPRAY,600 mcg/spray,"Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482000830,SUBSYS 800 MCG/SPRAY SUBLINGUAL SPRAY,800 mcg/spray,"Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482001215,"SUBSYS 1,200 MCG (600 MCG/SPRAY X2) SUBLINGUAL SPRAY","1,200 mcg (600 mcg/spray X 2)","Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
20482001615,"SUBSYS 1,600 MCG (800 MCG/SPRAY X2) SUBLINGUAL SPRAY","1,600 mcg (800 mcg/spray X 2)","Spray, Non-Aerosol",Sublingual,C-II,fentanyl,OPIOID ANALGESICS,ANALGESICS
23635011501,"XARTEMIS XR 7.5 MG-325 MG TABLET EXTENDED RELEASE, ORAL ONLY",7.5-325 mg,"tab,oral only,IR & ER, biphase",Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
23635040801,"EXALGO ER 8 MG TABLET,EXTENDED RELEASE",8 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
23635041201,"EXALGO ER 12 MG TABLET,EXTENDED RELEASE",12 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
23635041601,"EXALGO ER 16 MG TABLET,EXTENDED RELEASE",16 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
23635043201,"EXALGO ER 32 MG TABLET,EXTENDED RELEASE",32 mg,Tablet ER 24 hr,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
23635058110,ROXICODONE 15 MG TABLET,15 mg,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
23635058210,ROXICODONE 30 MG TABLET,30 mg,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
23710090101,REPREXAIN 5 MG-200 MG TABLET,5-200 mg,Tablet,Oral,C-II,hydrocodone/ibuprofen,OPIOID ANALGESIC AND NSAID COMBINATION,ANALGESICS
23710090201,REPREXAIN 10 MG-200 MG TABLET,10-200 mg,Tablet,Oral,C-II,hydrocodone/ibuprofen,OPIOID ANALGESIC AND NSAID COMBINATION,ANALGESICS
24090068188,PRIMLEV 5 MG-300 MG TABLET,5-300 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
24090068288,PRIMLEV 7.5 MG-300 MG TABLET,7.5-300 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
24090068388,PRIMLEV 10 MG-300 MG TABLET,10-300 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
24510011010,XTAMPZA ER 9 MG CAPSULE SPRINKLE,9 mg,"capsule,sprinkle,ER 12hr tmprr",Oral,C-II,oxycodone myristate,OPIOID ANALGESICS,ANALGESICS
24510011510,XTAMPZA ER 13.5 MG CAPSULE SPRINKLE,13.5 mg,"capsule,sprinkle,ER 12hr tmprr",Oral,C-II,oxycodone myristate,OPIOID ANALGESICS,ANALGESICS
24510012010,XTAMPZA ER 18 MG CAPSULE SPRINKLE,18 mg,"capsule,sprinkle,ER 12hr tmprr",Oral,C-II,oxycodone myristate,OPIOID ANALGESICS,ANALGESICS
24510013010,XTAMPZA ER 27 MG CAPSULE SPRINKLE,27 mg,"capsule,sprinkle,ER 12hr tmprr",Oral,C-II,oxycodone myristate,OPIOID ANALGESICS,ANALGESICS
24510014010,XTAMPZA ER 36 MG CAPSULE SPRINKLE,36 mg,"capsule,sprinkle,ER 12hr tmprr",Oral,C-II,oxycodone myristate,OPIOID ANALGESICS,ANALGESICS
27808003501,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003502,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003503,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003601,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003602,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003603,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003701,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003702,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808003703,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808008201,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
27808008202,MORPHINE CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL,100 mg/5 mL (20 mg/mL),Solution,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
27808011401,HYDROCODONE 5 MG-ACETAMINOPHEN 300 MG TABLET,5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808011501,HYDROCODONE 7.5 MG-ACETAMINOPHEN 300 MG TABLET,7.5-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
27808011601,HYDROCODONE 10 MG-ACETAMINOPHEN 300 MG TABLET,10-300 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
30698033701,DEMEROL 100 MG TABLET,100 mg,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
31722019205,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
31722019301,OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
31722019305,OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
31722019401,OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET,10-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
31722019405,OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET,10-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
31722091701,OXYCODONE 15 MG TABLET,15 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
31722091705,OXYCODONE 15 MG TABLET,15 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
31722091801,OXYCODONE 30 MG TABLET,30 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
31722091805,OXYCODONE 30 MG TABLET,30 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
33342020111,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
33342020115,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
33342020144,TRAMADOL 50 MG TABLET,50 mg,Tablet,Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
42023017905,BUPRENORPHINE 0.3 MG/ML INJECTION,0.3 mg/mL,Solution,Injection,C-III,buprenorphine HCl,OPIOID ANALGESICS,ANALGESICS
42195084010,ACETAMINOPHEN 320.5 MG-CAFFEINE 30 MG-DIHYDROCODEINE 16 MG CAPSULE,320.5-30-16 mg,Capsule,Oral,C-III,acetaminophen/caff/dihydrocod,"OPIOID ANALGESIC,NON-SALICYLATE,XANTHINE COMB",ANALGESICS
42291033301,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42291033401,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42291064601,OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET,10-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42291083290,TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET,37.5-325 mg,Tablet,Oral,C-IV,tramadol HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42358010210,LEVORPHANOL TARTRATE 2 MG TABLET,2 mg,Tablet,Oral,C-II,levorphanol tartrate,OPIOID ANALGESICS,ANALGESICS
42571011901,TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET,37.5-325 mg,Tablet,Oral,C-IV,tramadol HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42571011905,TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET,37.5-325 mg,Tablet,Oral,C-IV,tramadol HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42806000501,OXYCODONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42806000601,OXYCODONE 10 MG TABLET,10 mg,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42806000701,OXYCODONE 15 MG TABLET,15 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42806000801,OXYCODONE 30 MG TABLET,30 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42806000901,OXYCODONE 20 MG TABLET,20 mg,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42806005001,MEPERIDINE 50 MG TABLET,50 mg,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
42806005101,MEPERIDINE 100 MG TABLET,100 MG,Tablet,Oral,C-II,meperidine HCl,OPIOID ANALGESICS,ANALGESICS
42858000101,OXYCODONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42858000110,OXYCODONE 5 MG TABLET,5 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42858000201,OXYCODONE 10 MG TABLET,10 mg,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42858000210,OXYCODONE 10 MG TABLET,10 mg,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42858000301,OXYCODONE 15 MG TABLET,15 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42858000401,OXYCODONE 20 MG TABLET,20 mg,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42858000501,OXYCODONE 30 MG TABLET,30 MG,Tablet,Oral,C-II,oxycodone HCl,OPIOID ANALGESICS,ANALGESICS
42858010201,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858010250,OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858010301,OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858010350,OXYCODONE-ACETAMINOPHEN 7.5 MG-325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858010401,OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET,10-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858010450,OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET,10-325 mg,Tablet,Oral,C-II,oxycodone HCl/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858020101,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858020150,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858020201,HYDROCODONE 7.5 MG-ACETAMINOPHEN 325 MG TABLET,7.5-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858020301,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858020350,HYDROCODONE 10 MG-ACETAMINOPHEN 325 MG TABLET,10-325 mg,Tablet,Oral,C-II,hydrocodone/acetaminophen,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,ANALGESICS
42858023401,DILAUDID 4 MG TABLET,4 mg,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858030101,HYDROMORPHONE 2 MG TABLET,2 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858030125,HYDROMORPHONE 2 MG TABLET,2 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858030201,HYDROMORPHONE 4 MG TABLET,4 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858030225,HYDROMORPHONE 4 MG TABLET,4 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858030250,HYDROMORPHONE 4 MG TABLET,4 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858030301,HYDROMORPHONE 8 MG TABLET,8 MG,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858030416,HYDROMORPHONE 1 MG/ML ORAL LIQUID,1 mg/mL,Liquid,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858033801,DILAUDID 8 MG TABLET,8 mg,Tablet,Oral,C-II,hydromorphone HCl,OPIOID ANALGESICS,ANALGESICS
42858035340,BUPRENORPHINE 7.5 MCG/HOUR WEEKLY TRANSDERMAL PATCH,7.5 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
42858049340,BUPRENORPHINE 10 MCG/HOUR WEEKLY TRANSDERMAL PATCH,10 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
42858051501,"MS CONTIN 15 MG TABLET,EXTENDED RELEASE",15 mg,Tablet ER,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
42858058640,BUPRENORPHINE 15 MCG/HOUR WEEKLY TRANSDERMAL PATCH,15 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
42858075040,BUPRENORPHINE 5 MCG/HOUR WEEKLY TRANSDERMAL PATCH,5 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
42858080101,"MORPHINE ER 15 MG TABLET,EXTENDED RELEASE",15 MG,Tablet ER,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
42858080201,"MORPHINE ER 30 MG TABLET,EXTENDED RELEASE",30 MG,Tablet ER,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
42858080301,"MORPHINE ER 60 MG TABLET,EXTENDED RELEASE",60 MG,Tablet ER,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
42858080401,"MORPHINE ER 100 MG TABLET,EXTENDED RELEASE",100 MG,Tablet ER,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
42858080501,"MORPHINE ER 200 MG TABLET,EXTENDED RELEASE",200 MG,Tablet ER,Oral,C-II,morphine sulfate,OPIOID ANALGESICS,ANALGESICS
42858083940,BUPRENORPHINE 20 MCG/HOUR WEEKLY TRANSDERMAL PATCH,20 mcg/hour,Patch Weekly,Transdermal,C-III,buprenorphine,OPIOID ANALGESICS,ANALGESICS
42858090303,"TRAMADOL ER 300 MG TABLET,EXTENDED RELEASE 24HR MPHASE",300 mg,"Tablet, ER Multiphase 24 hr",Oral,C-IV,tramadol HCl,OPIOID ANALGESICS,ANALGESICS
43376021010,"ZOHYDRO ER 10 MG CAPSULE,EXTENDED RELEASE",10 mg,"Capsule,ER 12 hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376021510,"ZOHYDRO ER 15 MG CAPSULE,EXTENDED RELEASE",15 mg,"Capsule,ER 12 hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376022010,"ZOHYDRO ER 20 MG CAPSULE,EXTENDED RELEASE",20 mg,"Capsule,ER 12 hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376023010,"ZOHYDRO ER 30 MG CAPSULE,EXTENDED RELEASE",30 mg,"Capsule,ER 12 hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376024010,"ZOHYDRO ER 40 MG CAPSULE,EXTENDED RELEASE",40 mg,"Capsule,ER 12 hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376025010,"ZOHYDRO ER 50 MG CAPSULE,EXTENDED RELEASE",50 mg,"Capsule,ER 12 hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376031060,"ZOHYDRO ER 10 MG CAPSULE, ORAL ONLY,EXTENDED RELEASE",10 mg,"capsule, oral only, ER 12hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376031560,"ZOHYDRO ER 15 MG CAPSULE, ORAL ONLY,EXTENDED RELEASE",15 mg,"capsule, oral only, ER 12hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376032060,"ZOHYDRO ER 20 MG CAPSULE, ORAL ONLY,EXTENDED RELEASE",20 mg,"capsule, oral only, ER 12hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376033060,"ZOHYDRO ER 30 MG CAPSULE, ORAL ONLY,EXTENDED RELEASE",30 mg,"capsule, oral only, ER 12hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
43376034060,"ZOHYDRO ER 40 MG CAPSULE, ORAL ONLY,EXTENDED RELEASE",40 mg,"capsule, oral only, ER 12hr",Oral,C-II,hydrocodone bitartrate,OPIOID ANALGESICS,ANALGESICS
